song	link	album	lyrics
Atomic	https://www.allthelyrics.com/lyrics/blondie/atomic-lyrics-102581.html	Eat To The Beat	"Uh huh make me tonight.
Tonight make it right.
Uh huh make me tonight.
Tonight.
Tonight.
Oh uh huh make it magnificent.
Tonight.
Right.
Oh, your hair is beautiful.
Oh, tonight.
Atomic.
Tonight make it magnificent.
Tonight.
Make me tonight.
Your hair is beautiful.
Oh, tonight.
Atomic.
Atomic.
Oh."
Atomic (Armand's Short Circuit Mix)	https://www.allthelyrics.com/lyrics/blondie/atomic_armands_short_circuit_mix-lyrics-102584.html	Beautiful The Remix Album	"Uh huh.
Atomic.
Oh!
Tonight.
Fade Away And Radiate (108 BPM Mix) (Chris Stein)
Ooh baby I hear how you spend night.
Time wrapped like candy in a blue blue.
Neon glow fade away.
And radiate fade.
Away radiate.
Ooh baby watchful lines.
Vibrate soft.
In brainwave time silver pictures.
Move so slow.
Golden tubes faintly glow.
Electric.
Faces seem to merge.
Hidden voices mock your words.
Fade away radiate.
Fade away.
And radiate.
The beams become my.
Dream my dream.
Is on the screen the.
Beams become my dream.
My dream is on.
The screen dusty.
Frames that still arrive.
Die in 1955.
Fade away and ra.
Diate fade away.
And radiate.
The beam becomes my.
dream my dream.
is on the screen.
Fade away and radiate.
Fade away.
and radiate fade away.
radiate fade away radiate."
Atomic (Diddy Remix)	https://www.allthelyrics.com/lyrics/blondie/atomic_diddy_remix-lyrics-930248.html	Platinum Collection	"Oh ho!
Oh ho!
Uh huh make me tonight.
Tonight make it right.
Uh huh make me tonight.
Tonight.
Tonight.
Oh uh huh make it magnificent.
Tonight.
Right.
Oh, your hair is beautiful.
Oh, tonight.
Atomic.
Uh huh make me tonight.
Tonight.
Tonight.
Oh uh huh make it magnificent.
Tonight.
Right.
Oh, your hair is beautiful.
Oh, tonight.
Atomic.
Ah huh atomic.
Ah atomic.
Ah. Tonight make it magnificent.
Tonight.
Make me tonight.
Your hair is beautiful.
Oh, tonight."
Atomic (Original Single Version)	https://www.allthelyrics.com/lyrics/blondie/atomic_original_single_version-lyrics-102586.html	Platinum Collection	"Uh huh make me tonight.
Tonight make it right.
Uh huh make me tonight.
Tonight.
Tonight.
Oh uh huh make it magnificent.
Tonight.
Right.
Oh, your hair is beautiful.
Oh, tonight.
Atomic.
Tonight make it magnificent.
Tonight.
Make me tonight.
Your hair is beautiful.
Oh, tonight.
Atomic.
Atomic.
Oh."
Backfired	https://www.allthelyrics.com/lyrics/blondie/backfired-lyrics-102588.html	Koo Koo	"Backfired
Your plan, your plan backfired
Backfired
My man, your plan backfired in your face
You came into my life to test me
Your diplomatic drag depressed me
The glitter in your eyes undressed me
You were polished slick
Really thick
Wasting time dropping lines like
""I could get you into movies""
But we wound up at Hot Jo's for hamburgers to go
Backfired
Your plan backfired
Backfired
My man, your plan backfired in your face
To steal my mind was your objective
The way you spoke was too aggressive
The silly jokes were not impressive
Like ""A travelling salesman met a farmer with three daughters"", yet
All the quips were so suggestive
Then we ran down to Hot Jo's for hamburgers to go
Backfired
Your plan backfired
Backfired
My man, your plan backfired in your face
Well, come here my little dear, I've got what it takes
Give me just what I want and I'll give you a break
Well, don't slip on your lips cause you're talking so fast
Buying for first, crying for last
Well come on my little lady, don't shoot me down
I've got strong connections all over town
Just drop to a dead stop (what?)
Backfired
Your plan backfired
Backfired
My man, your plan backfired in your face
You were polished slick. Really thick
Wasting time dropping lines
Backfired
""A travelling salesman met a farmer with three daughters"", yet
Backfired
Backfired
Your plan backfired
Couldn't work out no
Backfired
My man, your plan
Backfired in your face
It backfired
Backfired
Your plan just backfired
Oh no, it couldn't work out, backfired
Better get a new line and try it again
Slick performance on demand
Backfired
You better back up fast and head out west
You may still collect
Backfired
It backfired
Your plan backfired
Too bad
Backfired
My man, your plan backfired
Well, come here my little dear, I've got what it takes
Give me just what I want and I'll give you a break
Well, don't slip on your lips cause you're talking so fast
Buying for first, crying for last
Well come on my little lady, don't shoot me down
I've got strong connections all over town
Just drop to a dead stop"
Backfired (Remix)	https://www.allthelyrics.com/lyrics/blondie/backfired_remix-lyrics-7440.html	Blondie	"Backfired
Your plan, your plan backfired
Backfired
My man, your plan backfired in your face
You came into my life to test me
Your diplomatic drag depressed me
The glitter in your eyes undressed me
You were polished slick
Really thick
Wasting time dropping lines like
""I could get you into movies""
But we wound up at Hot Jo's for hamburgers to go
Backfired
Your plan backfired
Backfired
My man, your plan backfired in your face
To steal my mind was your objective
The way you spoke was too aggressive
The silly jokes were not impressive
Like ""A travelling salesman met a farmer with three daughters"", yet
All the quips were so suggestive
Then we ran down to Hot Jo's for hamburgers to go
Backfired
Your plan backfired
Backfired
My man, your plan backfired in your face
Well, come here my little dear, I've got what it takes
Give me just what I want and I'll give you a break
Well, don't slip on your lips cause you're talking so fast
Buying for first, crying for last
Well come on my little lady, don't shoot me down
I've got strong connections all over town
Just drop to a dead stop (what?)
Fire (fire fire fire)
Back (back back back)
Backfired
Your plan backfired
Backfired
My man, your plan backfired
You were polished slick. Really thick
Wasting time dropping lines
Backfired
""A travelling salesman met a farmer with three daughters"", yet
Backfired
Backfired
Backfired
Backfired
Backfired
Backfired
It backfired
A new line and try it again
Slick performance on demand
Backfired
You better back up fast and head out west
You may still collect
Backfired
It backfired
Your plan backfired
Too bad
Backfired"
Bad Dreams	https://www.allthelyrics.com/lyrics/blondie/bad_dreams-lyrics-102591.html	Heart On A Wall	"Roll away, talleys, alleyway.
Yesterday's theory.
All alone in a nightmare.
Come on daytime!
And don't you cry cry cry cry cry all alone.
Allistar is on the banister making friends with the walls.
If you cry cry cry cry cry like a baby.
Make you cry cry cry cry cry.
Make you die die die die die.
Say goodbye bye bye bye bye.
All alone.
Your so young.
like a baby.
All alone.
Hey, you're so young.
Just like a baby.
And you cry.
Ride away on the Milky Way.
Fly away on a cloud. I know bad dreams.
To make you cry.
To make you cry.
To make you cry cry cry cry cry.
To make you cry cry cry cry.
To make you cry cry cry cry cry.
All alone.
Hey to make you cry cry cry cry cry.
To make you die die die die.
To make you cry cry cry cry cry.
All alone."
Bang A Gong (Get It On) (Live)	https://www.allthelyrics.com/lyrics/blondie/bang_a_gong_get_it_on_live-lyrics-102592.html	Blonde Beyond	"Well, you're dirty and sweet, clad in black, don't look back, and I love you.
You're dirty and sweet, oh yeah.
Well, you're windy and wild you've got the teeth of the hydra upon you.
You're dirty-sweet and you're my girl.
Get it on, bang a gong, get it on.
Get it on, bang a gong, get it on.
(?)
These boots were made for walking, and that's just what they'll do.
Bon voyage, y'all.(?)
Meanwhile, I'm still thinking.(?)"
Bermuda Triangle Blues (Flight 45)	https://www.allthelyrics.com/lyrics/blondie/bermuda_triangle_blues_flight_45-lyrics-102593.html	Plastic Letters	"Flight 45, last seen alive on the runway
Leaving for some fun in the hot tropic sun (back next Monday)
And our friends are at the airport
Cousin Bill says,
""Enjoy the water sports""
As we fly into the mystery
The film comes on and the Earth recedes
Several hours out - 20 minutes south of Bermuda
The communication's gone - something has to be so wrong
And it must be Jesus calling
The silver ship, the blue sea falling
Death was in that poison wave and in its gulf a fitting grave
The coast guard said they might be found
They know just where the plane went down"
Beyond The Limit	https://www.allthelyrics.com/lyrics/blondie/beyond_the_limit-lyrics-102594.html	Rockbird	"It's not the way that I want!
It's just the way it is.
Beyond the limit, beyond the limit.
The landlord says he's gonna renovate the walls.
Be prepared for a little noise,  but then the ceiling falls!
So ya try to sleep with the pillow on your head.
Toss, turn, start to burn, top floor lands in bed.
You watch TV but there's nothing on the screen.
Spotlight on the visual -- nothing on the beam.
Call the handy man to come fix your machine,
he tells ya now your kitchen works but all your toast is green!
That's the way it is.
That's the way it really, really is.
Beyond the limit, beyond the limit.
Out there!
That takes me away!"
