song	link	album	lyrics
Deceiver Of Fools	https://www.allthelyrics.com/lyrics/within_temptation/deceiver_of_fools-lyrics-39485.html	Mother Earth	"He told the tale so many times
About the dream not meant to be
In a world of the free
He plays with your mind
As faith for the future faded fast
He grows strong with their displeasure
It sets him free
Deceiver of hearts
Deceiver of fools
He rules with fear
Deceiver of hearts
Deceiver of fools
He rules again
He feeds on fear
Poisons the truth
To gain their faith
To lead the way
To a world of decay
He rules your heart
He will sell your soul to the grave
No hesitation he'll make
He belongs to the dark
Please awake
And see the truth
He can only be
If you believe what he tells you
Remember who you are
What you stand for
And there will always be a way
In my heart there is a place
In my heart there is a trace
Of a small fire burning
A sheltering ray shines through this night
Although it 's small, it's bright
But darkness is lurking
He will sell your soul to bitterness and cold
Fear him
Deceiver of hearts
Deceiver of fools
He rules with fear
Deceiver of hearts
Deceiver of fools
Shall he rule again?"
Deep Within	https://www.allthelyrics.com/lyrics/within_temptation/deep_within-lyrics-39528.html	Enter	"Is there a place deep within
A place where you hide your darkest sins
There's a strange kind of ambiance,
it's surrounding you
As a songstress you lure me,
towards the truth
Candles die down as you leave the room
In my heart you leave no gloom
As you lure me I know the truth
You're a leprechaun, I see you through
Is there a place deep within
A place where you hide your darkest sins
There's a strange kind of ambiance,
it's surrounding you
As a songstress you lure me,
towards the truth"
Destroyed	https://www.allthelyrics.com/lyrics/within_temptation/destroyed-lyrics-866363.html	The Silent Force	"I did my best to please you
But my best was never good enough
Somehow you're only able to see
All I am not
Did you ever look behind
Aren't you afraid of the pieces you'll find
I have failed you
but you have failed me too
[Chorus]
It's so easy to destroy
and condemn
The ones you do not understand
do you ever wonder if it's justified
It's so easy to destroy
and condemn
The ones you do not understand
in your life why didn't you ever try
I close my eyes as I walk the thin line
between love and hate
For the person with the same blood in his vains
You show no regrets
about all the things you did or said
I have failed you
but believe me
you failed me too
[Chorus 2x]"
Enter	https://www.allthelyrics.com/lyrics/within_temptation/enter-lyrics-39510.html	Enter	"The gates of time have opened,
Now, it's chains are broken.
An ancient force unleashed again
As I enter the portal,
I feel the enchantment
It takes me away, away from here
Come near me,
enter my private chambers,
I want to feel the warmth on my face,
light-in darkness,
lift me up from here.
Give me you wings,
to flee from my ivory tower.
As I enter the portal,
I feel the enchantment
The stars above are lying at my feet.
Come near me,
enter my private chambers,
I want to feel the warmth on my face,
light-in darkness,
lift me up from here.
Give me you wings,
to flee from my ivory tower."
Final Destination	https://www.allthelyrics.com/lyrics/within_temptation/final_destination-lyrics-1026939.html	Heart Of Everything	"Final Destination
I've given my final moment,
But it's turning back on me
On every corner I turn i can feel it waiting
And just a moment of awareness,
I can easily slip away.
And then I'll be gone FOREVER!
I'm searching
I'm finding for a way to get through.
To turn it away.
It's reigning, always trying.
Feel the hands of fate
They're suffocating.
Tell me what's the reason?
Is it only inside my head?
Can't take it no more.
All around me I see danger
And it's closing in on me
Every second I can hear it
Breathing
I can't stand the feeling inside of me.
'Cause the speed of me is jaded.
And it will be my end.
I'm searching
I'm finding for a way to get through
To turn it away.
It's reigning, always trying.
Feel the hands of fate
They're suffocating.
Tell me what's the reason?
Is it only inside my head?
Can't take it no more.
But no one faced what's coming my way.
And I will let my fear fade away
Whatever may be, I'll have to find out.
It's reigning, always trying.
Feel the hands of fate
They're suffocating.
Tell me what's the reason?
Is it only inside my head?
Can't take it no more."
Forgiven	https://www.allthelyrics.com/lyrics/within_temptation/forgiven-lyrics-1026940.html	Heart Of Everything	"Forgiven
Couldn't save you from the start
Love you so it hurts my soul
Can you forgive me for trying again?
Your silence makes me hold my breath
All the time has passed you by
For so long, I've tried to shield you from the world
You couldn't face the freedom on your own
Here I am
Left in silence
You gave up the fight
You left me behind
All that stands forgiven
You'll always be mine
I know deep inside
All that stands forgiven
Watched the clouds drifting away
Still the sun can't warm my face
I know it was destined to go wrong
You were looking for the great escape
To chase your demons away
For so long, I've tried to shield you from the world
You couldn't face the freedom on your own
Here I am
Left in silence
You gave up the fight
You left me behind
All that stands forgiven
You'll always be mine
I know deep inside
All that stands forgiven
I've been so lost since you've gone
Why not me before you?
Why did fate deceive me?
Everything turned out so wrong
Why did you leave me in silence?
You gave up the fight
You left me behind
All that stands forgiven
You'll always be mine
I know deep inside
All that stands forgiven"
Forsaken	https://www.allthelyrics.com/lyrics/within_temptation/forsaken-lyrics-225050.html	The Silent Force	"Now The Day Has Come
We Are Forsaken This Time
We Lived Our lives
In Our Paradise
As Gods We Shaped The World Around
No Borderlines
We Stayed Behind
No Boundaries Is Something Fragile
Well We Thought We Were Gaining
We Turned Back The Time
It Still Slips Away
Our Time Has Run Out
Our Future Has Died
There's No More Escape
Chorus
Now The Day Has Come
We Are Forsaken
There's No Time Any More
Life Will Pass Us By
We Are Forsaken
We're The Last Of Our Kind
The Sacrifice
Was Much To Hide
Our Grief Just Made Us All Go On
We Try To Hide What We Fear Inside
Today Is The End Of Tomorrow
As The Sea Started Rise
And The Land That We Conquered
It Just Washed Away
We All Have Tried
To Turn Back The Time
It Was All In Vain
Chorus
Now The Day Has Come
We Are Forsaken
There's no Time Anymore
Life Will Pass You By
We Are Forsaken
Only Rules Stay Below
""Een Hoop Gebrabbel""
Now The Day Has Come
We Are Forsaken This Time
Now The Day Has Come
We Are Forsaken
There's No Time Any More
Now The Day Has Come,
The Day Has Come"
Frozen	https://www.allthelyrics.com/lyrics/within_temptation/frozen-lyrics-319938.html	Heart Of Everything	"Frozen
Never look back 'cause it hurts.
My heart is so cold
I feel the frost,
Never look back.
I feel the darkness on my shoulder,
The frost is in my heart.
So cold my hair is frozen,
Touching my skin, my flesh.
Sometimes I regret I had to do,
'Cause our love was somehow true.
But I had to leave you,
For the sake of the moods.
Frozen tears turn into my skin.
Frozen memories of you.
Sometimes I see your face,
As pure as you are mine.
I feel the darkness on my shoulder,
The frost is in my heart.
So cold my hair is frozen,
Touching my skin, my flesh.
Never look back because it hurts.
My heart is so cold
I feel the frost,
Never look back."
Grace	https://www.allthelyrics.com/lyrics/within_temptation/grace-lyrics-39534.html	Enter	"Cold are the bones of thy soldiers.
Longing for home, their little paradise.
I don't feel remdeption on their side
Fallen from grace, help me rise again.
Fallen from grace, help me through.
Fallen from grace, help me through.
Fallen from grace.
Feel these hands, the pressure, the cold, tremble.
Do you hear these words.
Do you feel the wounds.
I'll never help you through.
Cold are thy souls,
I feel the resentment,
they feel betraid,
They hate the cold
I don't feel redemption on their side.
Fallen from grace, help me rise again.
Fallen from grace, help me through."
Hand Of Sorrow	https://www.allthelyrics.com/lyrics/within_temptation/hand_of_sorrow-lyrics-1026941.html	Heart Of Everything	"Hand Of Sorrow
The child without a name grew up to be the hand
To watch you, to shield you, or kill on demand
The choice he made he could not comprehend
He's got a grim secret they had to command
He's torn between his honor and the true love of his life
He prayed for both but was denied
So many dreams are broken and so much we sacrifice
Was it worth the ones we loved and had to leave behind
So many years have past toward a noble land of lies
Will all our sins be justified?
The curse of his powers tormented his life
Obeying the crown was a sinister crime
His soul was tortured by love and by pain
He surely would flee but the oath made him stay
He's torn between his honor and the true love of his life
He prayed for both but was denied
So many dreams are broken and so much we sacrifice
Was it worth the ones we loved and had to leave behind
So many years have past toward a noble land of lies
Will all our sins be justified?
Please forgive me for the sorrow
For leaving you in fear
For the dreams we had to silence
That's all there'll ever be
Still I'll be the hand that saves you
Though you'll not see that it is me
So many dreams are broken and so much we sacrifice
Was it worth the ones we loved and had to leave behind
So many years have past toward a noble land of lies
Will all our sins be justified?"
