song	link	album	lyrics
Back Chat	https://www.allthelyrics.com/lyrics/queen/back_chat-lyrics-56032.html	Hot Space	"Yeah
Get back, get back
Back chat, back chat, You burn all my energy
Back chat, back chat, Criticizing all you see
Back chat, back chat, Analysing what I say
Back chat, back chat, And you always get your way
Oh yeah! See what you've done to me
Back chat, back chat, It's driving me insane
Survival to the end, Knock you down you come again
Talk back, talk back, You've got me on the wrack
Twisting every word I say, Wind me up and get your way
Fat chance I have of making a romance
If I'm ever going to win, Have to get the last word in
Take it from there
Twisting every word I say Huh!
Wind me up and let me play
Back chat, back chat, You burn all my energy
Back chat, back chat, Criticizing all you see
Back chat, back chat, Analysing what I say
Back chat, back chat, And you always get your way
Come on now
Wake up stand up, And drag yourself on out
Get down get ready, Scream and shout
Back off me be cool, And learn to change your ways
Because you're talking in your sleep
And you're walking in a daze
Don't push your luck, I'm ready to attack
Because when I'm trying to talk to you
All you do is just talk back
You stand so tall you don't frighten me at all
Don't talk back, don't talk back
Don't talk back, just leave me alone
Back chat, back chat, You burn all my energy
Back chat, back chat, Criticizing all you see
Back chat, back chat, Analysing what I say
Back chat, back chat, And you always get your way
Yes you do, Yes you do baby
Come on, back chat, back chat
Back chat, back chat
Back chat, back chat
Go for it, go for it, go for it baby
Back chat, back chat
You're giving me the runaround
Critisizing (oh yeah),analysing (oh yeah)
Yeah merci beaucoup
Get on down.."
Back To Humans	https://www.allthelyrics.com/lyrics/queen/back_to_humans-lyrics-1122547.html	-	"It's a Machine's world
Don't tell me I ain't got no soul
When the machines take over
It ain't no place for you and me.
They tell me I don't care
But deep inside I'm just a man
They freeze me they burn me
They squeeze me they stress me
With smoke-blackened pistons of steel they compress me
But no-one, but no-one, but no-one can wrest me away
Back to Humans.
We have no disease, no troubles of mind
No thank you please, no regard for the time
We never cry, we never retreat
We have no conception of love or defeat.
What's that Machine noise
It's bytes and megachips for tea
It's that Machine, boys
With Random Access Memory
Never worry, never mind
Not for money, not for gold.
It's software it's hardware
It's heartbeat is time-share
It's midwife's a disk drive
It's sex-life is quantised
It's self-perpetuating a parahumanoidarianised.
Back to Humans
Back to Humans.
Back to Machines.
Living in a new world
Thinking in the past
Living in a new world
How you gonna last
Machine world...
It's a Machine's world...
Change.
Back to Humans."
Back To The Light	https://www.allthelyrics.com/lyrics/queen/back_to_the_light-lyrics-500651.html	-	"Far, far from the light
Here the night creatures call
In the cold breath they howl
And the hollow tears, they're calling you
I'll be there, though maybe you wont see my babe
I'll still care, no mater where I'll still be there
When you make to the other side
Lord I'm going back, back to the light
Back to the dreams that are paved with gold
Back to the light
Back to the land, where the sunshine heals my soul
Deep, deep in the night
When the world fils with tears
And the wind grows, colder and colder it grows
And the fire dimes, with the same old fears
I'll be there, no matter what you're going through
In the dark I care, I'm holding on, I'm hoping on
It's still the same old me inside#
Lord I'm going back, back to the light
Back to the dreams that are paved with gold
Back to the light
Back to the land, where the sunshine heals my soul
On and on, searching for the clearer view
Winning and loosing an inner war
Wondering what we do it for
Though the road seems never ending
Hold on to the hope I'm sending through
No matter where you're going to
I'll be there
I'm holding on, believe it
We'll be walking in the light
?cos there'll be no place left to hide
Back to the light
Back to the dreams that are paved with gold
Back to the light
Back to the land, where the sunshine heals my soul
Let me hear you babes - yeah, yeah, yeah"
Barcelona	https://www.allthelyrics.com/lyrics/queen/barcelona-lyrics-341920.html	Queen: Greatest Hits III	"I had this perfect dream
Un sueño me envolvio
This dream was me and you
Tal vez estas aqui
I want all the world to see
Un instinto me guiaba
A miracle sensation
My guide and inspiration
Now my dream is slowly coming true
The wind is a gentle breeze
El me hablo de ti
The bells are ringing out
El canto vuela
They're calling us together
Guiding us forever
Wish my dream would never go away
Barcelona - It was the first time that we met
Barcelona - How can I forget
The moment that you stepped into the room you took my breath away
Barcelona - La musica vibro
Barcelona - Y ella nos unio
And if God willing we will meet again someday
Let the songs begin
Dejalo nacer
Let the music play
Ahhhhhhhh...
Make the voices sing
Nace un gran amor
Start the celebration
Van a mi
And cry
Grita
Come alive
Vive
And shake the foundations from the skies
Ahhh ,Ahhh, Shaking all our lives
Barcelona - Such a beautiful horizon
Barcelona - Like a jewel in the sun
Por ti sere gaviota de tu bella mar
Barcelona - Suenan las campamas
Barcelona - Abre tus puertas al mundo
If God is willing
If God is willing
If God is willing
Friends until the end
Viva - Barcelona"
Bet Your Bottom Dollar Bill Youre A Playboy	https://www.allthelyrics.com/lyrics/queen/bet_your_bottom_dollar_bill_youre_a_playboy-lyrics-646597.html	Queen	"Back Chat, Back Chat
You burn all my energy
Back Chat, Back Chat
Criticising all you see
Back Chat, Back Chat
Analysing what I say
Back Chat, Back Chat
And you always get your way
Oh yeah see what you've done to me
Back Chat, Back Chat
You're driving me insane
It's a battle to the end, knock you down you come again
Talk back, talk back you've got me on the rack
Twisting every word I say
Wind me up and get your way
Fat chance I have of making a romance
If I'm ever going to win
I'll have to get the last word in
Take it from there
Twisting every word I say
Wind me up and get your way
Back Chat, Back Chat
You burn all my energy
Back Chat, Back Chat
Criticising all you see
Back Chat, Back Chat
Analysing what I say
Back Chat, Back Chat
And you always get your way
Wake up stand up and drag yourself on out
Get down get ready
Scream and shout
Back off, be cool
And learn to change your ways
Cos you're talking in your sleep
And you're walking in a daze
Don't push your luck
I'm ready to attack
Cos when I'm trying to talk to you
All you do is just talk back
You stand so tall, you don't frighten me at all
Don't talk back, don't talk back, don't talk back
Just leave me alone
Back Chat, Back Chat
You burn all my energy
Back Chat, Back Chat
Criticising all you see
Back Chat, Back Chat
Analysing what I say
Back Chat, Back Chat
And you always get your way
Yes you do ..."
Bicycle Race	https://www.allthelyrics.com/lyrics/queen/bicycle_race-lyrics-56082.html	Greatest Hits	This song lyrics are not displayed due to the claim of copyright holder
Big Bad Caused A Mighty Fine Sensation	https://www.allthelyrics.com/lyrics/queen/big_bad_caused_a_mighty_fine_sensation-lyrics-500649.html	Sheer Heart Attack	"(Mercury)
Bicycle bicycle bicycle
I want to ride my bicycle bicycle bicycle
I want to ride my bicycle
I want to ride my bike
I want to ride my bicycle
I want to ride it where I like
You say black I say white
You say bark I say bite
You say shark I say hey man
Jaws was never my scene
And I don't like Star Wars
You say Rolls I say Royce
You say God give me a choice
You say Lord I say Christ
I don't believe in Peter Pan
Frankenstein or Superman
All I wanna do is
Bicycle bicycle bicycle
I want to ride my bicycle bicycle bicycle
I want to ride my bicycle
I want to ride my bike
I want to ride my bicycle
I want to ride my
Bicycle races are coming your way
So forget all your duties oh yeah!
Fat bottomed girls they'll be riding today
So look out for those beauties oh yeah
On your marks get set go
Bicycle race bicycle race bicycle race
Bicycle bicycle bicyI want to ride my bicycle
Bicycle bicycle bicycle
Bicycle race
You say coke I say caine
You say John I say Wayne
Hot dog I say cool it man
I don't wanna be the President of America
You say smile I say cheese
Cartier I say please
Income tax I say Jesus
I don't wanna be a candidate
For Vietnam or Watergate
Cos all I want to do is
Bicycle bicycle bicycle
I want to ride my bicycle bicycle bicycle
I want to ride my bicycle
I want to ride my bike
I want to ride my bicycle
I want to ride it where I like"
Big Spender	https://www.allthelyrics.com/lyrics/queen/big_spender-lyrics-56220.html	Live At Wembley '86	"From the moment you walked in the joint,
I could see you were a man of distinction,
A real big spender
Good lookin' so refined
Say wouldn't you like to know what's going on in my mind
So let me get right to the point
I don't pop my cork for every GUY I see
Hey big spender
Spend a little time with me"
Blurred Vision	https://www.allthelyrics.com/lyrics/queen/blurred_vision-lyrics-55976.html	A Kind Of Magic	"One one one one one one one one
Yeah yeah yeah
One one one one one one one one one one
Yeah ahh
One one one one one one one one one one
One vision - one vision - one vision
One one one one one one one one one one
One one one one one
One vision - one vision
Iii One vision iii
One one one one one one one one one one
Iii One vision - one vision - one vision
One one one one one one one one one one
One vision
One one one one one one one one one one
One vision - one vision
Hey hey hey he
One flesh, One bone
One true religion
One voice, One hope
One real decision
Gimme one light - yeah
Gimme one hope - hey
Just gimme, ha
One man, One man
One bar, One night
One day hey hey
Just gimme gimme gimme gimme
Fried chicken - vision - vision - vision - vision - vision
Aah"
Body Count	https://www.allthelyrics.com/lyrics/queen/body_count-lyrics-500648.html	-	"(berry/buck/mills/stipe)
All the young kids learn to dance in the combat zone
Never dared to take a chance
Goin' home alone
But it gets so fucky cold
When it's late at night
Leave the foxholes on their own
Do you sleep well at night?
Body count, feeling hot
Body count, keeping warm
Friends are playing with danger
They don't know where it's found
With their casual letters
It's just another chain
You've lost the innocence
That you've never found
Standing in the dmz
Don't get turned around
(chorus)
Body count, feeling hot
Body count, vietnam
It's not the game, it's a scar
And they won't let you wear your khakis
And your izods anymore
You can go get shot to hell
They don't want you anymore because
All the young kids learn to dance in the combat zone
Never dare to take a chance
You're going home alone
Military metaphors
Are metaphors no more
Keeping up with protocol
You're dancin? off to war
(repeat chorus)
Do you sleep well at night?
Body count, vietnam
They can say what they want
But you have your doubts
It's not what you've lost
It's what your without
When I ran so far
And they just turned away
I doesn't bother me by the light of day
But at night, I hear your call
Late at night, I hear your call
I saw the mirror that you broke today
I saw the ceiling falling down your way
When they looked at you, you could turn away
You didn't bother then by the light of day, you'll stay
But at night, I hear your call
Late at night, I hear your call
You said that you could turn away
I knew that you going to stay
The walls are falling all around
They pinned you down onto the ground
But at night, I hear your call
Vietnam, I hear you call"
