song	link	album	lyrics
Angry Heart	https://www.allthelyrics.com/lyrics/black_sabbath/angry_heart-lyrics-104019.html	Seventh Star	"I still remember how it used to be
I thought the only thing
That mattered was me
You always told me it was just insane
To feel such joy while others feel pain
There's no way to change this angry heart
Cause when love goes it will tear you apart
And it's been this way since time began
It's a desperate search for a promised land
And the years slip by like so much sand
So many people who are dying to live
It tortures my heart they've got so much to give
I never saw it as a battle before
To win the fight
There has to be more
And there's no way to change this angry heart
Cause all these fears
Will tear you apart
And it's been this way since time began
It's an endless journey, it's the fate of man
To live each day and never understand
And it's been this way since time began
It's a desperate search for a master plan
And the years slip by like water through your hands"
Anno Mundi	https://www.allthelyrics.com/lyrics/black_sabbath/anno_mundi-lyrics-104020.html	Headless Cross	"Can you see me, are you near me?
Can you hear me crying out for life?
Can you tell me, where's the glory?
Ride the days and sail the nights
When it's over you'll find the answer
Running in the whispering rain
Anno MundI' Can you wonder!
Truth or thunder, life or blame
Do you see a vision of a perfect place?
Does it make you laugh, put a smile on your face?
Do you need a mirror, do you see it well?
Does the hand of God still toll the bell?
There are people laughing
They're all laughing at you
If only they could see what you're saying is true
Still generals fighting, making war on the world
Don't they know, don't they know?
No, no, no
The wind in the night blows cold
Your eyes are burning
As the sands of our time grow old
Anno Mundi
Do you follow the path that so many tread?
Are you among the blind so easily lead?
Do you join the war, do you fight for the cause?
Depend on another to fight it alone
The wind in the night blows cold
Your eyes are burning
As the sands of our time grow old
Anno Mundi
Can you see me now, can you hear me now?
Can you tell me where's the glory?
Ride the days and sail the nights
When it's over, you'll find the answer
running in the rain
There's a hope that's growing and a vision too
All those angry hearts now reach out for you
Do you look to the dawn, see a new day begun?
No longer the fool, the vision is done"
Anno Mundi (The Vision)	https://www.allthelyrics.com/lyrics/black_sabbath/anno_mundi_the_vision-lyrics-551958.html	Tyr	"Can you see me, can you hear me
Can you hear me crying out for life?
Can you tell me, where's the glory?
Ride the days and sail the nights
When it's over you'll find the answer
Running in the wispering rain
Anno mundI' can you wonder!
Truth or thunder, life or blame
Do you see a vision of a perfect place?
Does it make you laugh, put a smile on your face?
Do you need a mirror, do you see it well?
Does the hand of god still toll the bell?
There are people laughing
They're all laughing at you
If only they could see what you're saying is true
Still generals fighting, making war on the worlds
Don't they know, Don't they know?
No,no, no
CHORUS:
The winds in the night blows cold
Your eyes are burning
As the sands of our time grow old
Anno Mundi
Do you follow the path that so many trend?
Are you among the blind so easily lead?
Do you join the war, do you fight for the cause?
Depends on another to fight it alone
CHORUS
Can you see me now, can you hear me now?
Can you tell me where's the glory?
Ride the days and sail the nights
When it's over, you'll find the answer
Runnin' in the rain
There's a hope that's growing and a vision too
All those angry hearts reach out for you
Do you look to the dawn, see a new day begun?
No longer the fool, the vision is done"
Back Street Kids	https://www.allthelyrics.com/lyrics/black_sabbath/back_street_kids-lyrics-7165.html	Technical Ecstasy	"I'm just another back street kid
Rock 'n Roll music is the only thing I really dig
Can't stop the music going round inside my head
I'm a rock 'n roll soldier, gonna play it until I'm dead
Nobody I know is gonna take my rock 'n roll away from me
Sitting in the back seat of a shiny limousine
Living in a taxi can't remember where I've been
Playing my music, sitting in my hotel room
Writing about the stars and thinking about the hand of doom
Nobody I know is gonna take my rock 'n roll away from me
Living life comes easy if you know which way you're going
Got to see yourself in other's eye's, surprised?
Living like I want to don't come easy, but I'm trying
Sorting out what's true and what are lies, it's wise
Brought up in a back street living with the salt of the land
Seems that now my music's paying off my tax demands
So listen to the music, want to see you get so high
'Cause I'm a back street rocker and I will be till the day I die
Nobody I know is gonna take my rock 'n roll away from me"
Back To Eden	https://www.allthelyrics.com/lyrics/black_sabbath/back_to_eden-lyrics-358696.html	Cross Purposes	"We Are The Star Demons, Reaching Out Yeah,
We Want To Touch Your World,
We Are the Dream Makers, Pure And Sweet Yeah,
We're Gonna Change Your World.
When You're Tired Of Giving Reasons
And Freedom Fighting Freedom
If You're Searching For An Answer,
We Can Bring You Back To Eden.
There's No Need For Pain And Anger,
The Power Of Peace Can Destroy The Gun.
Leave Behind Man's Vanity Yeah,
And Living Life On The Run.
Is God Forgiving, Is This The Final Warning,
Watching As The Future Turns.
Science Fiction, Real Life Addiction.
The Human Race Will Never Learn."
Behind The Wall Of Sleep	https://www.allthelyrics.com/lyrics/black_sabbath/behind_the_wall_of_sleep-lyrics-32387.html	Black Sabbath	"Precious cups within the flower
deadly petals with strange power
faces shine a deadly smile
back up on you at your trial
Chill and numbs from head to toe
icy sun with frosty glow
Why'd you go reaching your sorrow?
why'd you go read no tomorrow
Feel your spirit rise with the priest
feel your body falling to its knees
Take your walk of remorse
take your body to a corpse
take your body to a corpse
take your body to a corpse
if you want all remorse
take your body to a corpse
Now from darkness, there springs light
Wall of Sleep is cold and bright
Wall of Sleep is lying broken
Sun shines in, you are awoken"
Black Moon	https://www.allthelyrics.com/lyrics/black_sabbath/black_moon-lyrics-104025.html	Headless Cross	"Oh the devil is rising with the moon
He cries and my blood runs cold.
Oh no never was the darkness so black,
No light and nowhere to go.
My spirit is crying for a love
So tired of being alone.
I remember He came here to steal,
and You are His stealer of souls.
I see a Black Moon rising,
and it's calling out my name.
Oh it's calling my name.
I've been blinded, lost and confused,
darkness will call me no more.
Heaven is no friend of mine,
no god ever knocked on my door.
I see a Black Moon rising,
and it's calling out my name.
Oh it's calling my name.
I'm standing on the dark side of time
Reaching for the power of Her hand.
She's weaving an unholy light
And calls from Lucifer's land.
I see a Black Moon rising,
and it's calling out my name.
An angel of Hell is rising,
heaven's no friend of mine.
I see a Black Moon rising,
and it's calling out my name,
I see a Black Moon rising,
and it causes so much pain.
An angel of Hell is rising,
heaven's no friend of mine.
I see a Black Moon rising,
and it's calling out my name.
It's calling my name,
this spirit's crying for love.
Heaven's no friend of mine."
Black Sabbath	https://www.allthelyrics.com/lyrics/black_sabbath/black_sabbath-lyrics-7122.html	Black Sabbath	"What is this that stands before me?
Figure in black which points at me
Turn around quick and start to run
Find out I'm the chosen one
Oh Noooooooooooo
Big black shape with eyes of fire
Telling people their desire
Satan sitting there, he's smiling
Watch as those flames get higher and higher
Oh no no, please God help me,
Is it the end, my friend?
Satan's coming 'round the bend
People running, cause they're scared
People that are going, beware
Noo, Nooo, please no"
Black Sabbath(alternate Lyrics)	https://www.allthelyrics.com/lyrics/black_sabbath/black_sabbathalternate_lyrics-lyrics-886271.html	-	"What is this, that stands before me?
Figure in black, which points at me
turn 'round quick, and start to run
find out I'm the chosen one
OH NOOO!
big black shap with eyes of fire
telling people their desire
Satan's sitting there, he's smiling
watches those flames get higher and higher
OH NO, NO, PLEASE GOD HELP ME!
child creis ou for his mother
mother's screaming in the fire
Satan points to me again
opens the door to push me in
OH NO,OH GOD
Is it the end my friend?
Satan's coming 'round the bend
people running 'cause they're scared
the people better go and beware
NO, NO, PLEASE GOD NO!"
Born Again	https://www.allthelyrics.com/lyrics/black_sabbath/born_again-lyrics-104028.html	Born Again	"(The lyrics look correct, but wrong song, right group, album
wrong song.  Song title is Trashed!""
Ahhh, Ah
It really was a meeting
The bottle took a beating
The ladies of the manor
Watched me climb into my car
And I was going down the track about a hundred and five
They had the stopwatch rolling
Had the headlights blazing I was really alive
And yet my mind was blowing
I drank a bottle of tequila and I felt real good
I had the tape deck roaring
But on the twenty-fifth lap at the canal turn I went off exploring
I knew I wouldn't make it the car just couldn't take it
I was turning, tires burning
The ground was in my sky
I was laughing. The bitch was trashed
And death was in my eye
Started pretty good and I was feeling my way
Had the wheels in motion
There was Peter and the Greenfly laughing like drains
Inebri-ocean
Crowd was roaring I was at Brands Hatch in my imagination
At the canal turn I hit an oily patch
Inebriation
Knew I wouldn't make it the car just couldn't take it
I was turning, tires burning
The ground was in my sky
I was laughing. The bitch was trashed
And death was in my eye
Ooh Mr. Miracle you saved me from some pain
I thank you Mr. Miracle I won't get trashed again
Ooh can ya hear my lies?
Don't you bother with this fool just laugh into my eye
I was turning, tires burning
The ground was in my sky
I was laughing. The bitch was trashed
Death was in my eye
Ooh Mr. Miracle you saved me from some pain
I thank you Mr. Miracle I won't get trashed again
Ooh can ya hear my lies?
Don't you bother with this fool just laugh into my eye...
Back to the bar and hit the bottle again
But there was no tequila
Then we started on the whiskey just to steady our brains
'Cos there was no tequila
As we drank a little faster at the top of our hill
We began to roll
(And) as we got trashed we were laughing still
Well bless my soul!
Yo ho jack off"
