song	link	album	lyrics
Acrobat	https://www.allthelyrics.com/lyrics/u2/acrobat-lyrics-18518.html	Achtung Baby	"Don't believe what you hear
Don't believe what you see
If you just close your eyes
You can feel the enemy
When I first met you girl
You had fire in your soul
What happened your face
Of melting in snow
Now it looks like this
And you can swallow
Or you can spit
You can throw it up
Or choke on it
And you can dream
So dream out loud
You know that your time is coming 'round
So don't let the bastards grind you down
No, nothing makes sense
Nothing seems to fit
I know you'd hit out
If you only knew who to hit
And I'd join the movement
If there was one I could believe in
Yeah I'd break bread and wine
If there was a church I could receive in
'cause I need it now
To take a cup
To fill it up
To drink it slow
I can't let you go
I must be an acrobat
To talk like this
And act like that
And you can dream
So dream out loud
And don't let the bastards grind you down
Oh, it hurts baby
(What are we going to do now it's all been said)
(No new ideas in the house and every book has been read)
And I must be an acrobat
To talk like this
And act like that
And you can dream
So dream out loud
And you can find
Your own way out
You can build
And I can will
And you can call
I can't wait until
You can stash
And you can seize
In dreams begin
Responsibilities
And I can love
And I can love
And I know that the tide is turning 'round
So don't let the bastards grind you down"
Alex Descends Into Hell For A Bottle Of Milk/korova 1	https://www.allthelyrics.com/lyrics/u2/alex_descends_into_hell_for_a_bottle_of_milkkorova_1-lyrics-500500.html	The Fly	"Dies irae, dies illa
Dies irae, dies illa
Tuba mirum spargens sonum
Decet in inferno
Dies illa, dies illa
English translation of the Latin lyrics:
A day of wrath, that day
A day of wrath, that day
The trumpet's wondrous call sounding abroad
He descended into hell
A day of wrath, that day"
All Along The Watchtower	https://www.allthelyrics.com/lyrics/u2/all_along_the_watchtower-lyrics-18497.html	Rattle And Hum	"There must be some way out of here
Said the joker to the thief
There's too much confusion here
I can't get no relief
Businessmen they drink my wine
Plowmen dig my earth
None of them know along the line
What any of this is worth
No reason to get excited
The thief, he kindly spoke
There are many here among us
Who think that life is but a joke
But you and I, we've been through that
And that is not our fate
So let us not talk falsely now
Because the hour is getting late
All along the watchtower
Princes kept the view
While horsemen came and went
Barefoot servants too
All I got is a red guitar
Three chords
And the truth
All I got is a red guitar
The rest is up to you
There's no reason to get excited
The thief, he kindly spoke
There are some among us here
Say that life is just a joke
You and I, we've been through that
And that is not our fate (at least today)
So let us not talk falsely now
Because the hour is getting late
Late..."
All Because Of You	https://www.allthelyrics.com/lyrics/u2/all_because_of_you-lyrics-219136.html	How To Dismantle An Atomic Bomb	"I was born a child of grace
Nothing else about the place
Everything was ugly but your beautiful face
And it left me no illusion
I saw you in the curve of the moon
In the shadow cast across my room
You heard me in my tune
When I just heard confusion
All because of you
All because of you
All because of you
I am...I am
I like the sound of my own voice
I didn't give anyone else a choice
An intellectual tortoise
Racing with your bullet train
Some people get squashed crossing the tracks
Some people got high rises on their backs
I'm not broke but you can see the cracks
You can make me perfect again
All because of you
All because of you
All because of you
I am...I am
I'm alive
I'm being born
I just arrived, I'm at the door
Of the place I started out from
And I want back inside
All because of you
All because of you
All because of you
I am"
All I Want Is You	https://www.allthelyrics.com/lyrics/u2/all_i_want_is_you-lyrics-18507.html	Rattle And Hum	"You say you want diamonds on a ring of gold
You say you want your story to remain untold
But all the promises we make from the cradle to the grave
When all I want is you
You say you'll give me a highway with no one on it
Treasure just to look upon it
All the riches in the night
You say you'll give me eyes in a moon of blindness
A river in a time of dryness
A harbour in the tempest
But all the promises we make from the cradle to the grave
When all I want is you
You say you want your love to work out right
To last with me through the night
You say you want diamonds on a ring of gold
Your story to remain untold
Your love not to grow cold
All the promises we break from the cradle to the grave
When all I want is you
You
All I want is you
All I want is you
All I want is you"
All I Want Is You (Live From Manray)	https://www.allthelyrics.com/lyrics/u2/all_i_want_is_you_live_from_manray-lyrics-1119927.html	Stuck In A Moment You Can't Get Out Of	"You say you want a diamond on a ring of gold
You say you want your story to remain untold
Sll the promises we make from the cradle to the grave
When all I want is you
You say you'll give me a highway with no one on it
Your treasure just to look upon it
All the riches in the night
You say you'll give me eyes in a moon of blindness
A river in a time of dryness
A harbour in the tempest
All the promises we make from the cradle to the grave
When all I want is you
You say you want your diamond on a ring of gold
Your story to remain untold
Your love not to grow cold
All the promises we make from the cradle to the grave
When all I want is you
All I want is you
All I want is you
All I want is you
All I want is you
Please help me now
Sing it
Merci, bon soir
Tres bien
Thank you so much
Merci bien"
All I Want Is You (Single Edit)	https://www.allthelyrics.com/lyrics/u2/all_i_want_is_you_single_edit-lyrics-1119884.html	All I Want Is You	"You say you want diamonds on a ring of gold
You say you want your story to remain untold
But all the promises we made from the cradle to the grave
When all I want is you
You say you'll give me a highway with no one on it
Treasure just to look upon it
All the riches in the night
You say you'll give me eyes on a moon of blindness
A river in a time of dryness
A harbour in the tempest
But all the promises we make from the cradle to the grave
When all I want is you
You say you want diamonds on a ring of gold
Your story to remain untold
Your love not to grow cold
All the promises we break from the cradle to the grave
When all I want is you
All I want is you
All I want is you
All I want is you
All I want is you"
Always	https://www.allthelyrics.com/lyrics/u2/always-lyrics-924467.html	7	"Here today, gone tomorrow
Crack the bone, get to the marrow
To be a bee and the flower
Before the sweetness turns to sour
What we have we're gonna keep, always
What we've lost we don't need, always
What is it that won't let you sleep, always
Be the arrow and the target
Put your head over the parapet
Be uncool, yes be awkward
Don't look in the obvious place
The soul needs beauty for a soulmate
Get down off your holy cloud, always
God will not deal with the proud, always
Well if you dream then dream out loud, always
Eternally yours, always
I want you
I want you
I want you
Touch me now inside
I wanted to be a man
I wanted to call
You say you come to know yourself, always
Don't find yourself in someone else, always
And always wear a safety belt, always
Wait for me I'm running late, always
This is the moment that we share for always
Turn each song into a prayer, always
Now and forever
For always"
An Cat Dubh	https://www.allthelyrics.com/lyrics/u2/an_cat_dubh-lyrics-18444.html	Boy	"Say goodnight
She waits for me to
Put out the light
Lay there still
She waits to break my will
Yes, if I know the truth about you...
And in the daylight
A blackbird makes a violent sight
And when she is done
She sleeps beside the wild
Yes, if I know the truth about you...
---"
Angel Of Harlem	https://www.allthelyrics.com/lyrics/u2/angel_of_harlem-lyrics-18502.html	Rattle And Hum	"It was a cold and wet December day
When we touched the ground at JFK
Snow was melting on the ground
On BLS I heard the sound of an angel
New York, like a Christmas tree
Tonight this city belongs to me, angel
Soul love, this love won't let me go
So long Angel of Harlem
Birdland on fifty-three
The street sounds like a symphony
We got John Coltrane and a love supreme
Miles, and she's got to be an angel
Lady Day got diamond eyes
She sees the truth behind the lies, angel
Soul love, this love won't let me go
So long Angel of Harlem
Angel of Harlem
She says it's heart, heart and soul
Yeah, yeah
Yeah, yeah
Blue light on the avenue
God knows they got to you
An empty glass, the lady sings
Eyes swollen like a bee sting
Blinded, you lost your way
Through the side streets and the alleyway
Like a star exploding in the night
Falling to the city in broad daylight
An angel in Devil's shoes
Salvation in the blues
You never looked like an angel
Yeah yeah, Angel of Harlem
Angel, Angel of Harlem
Angel, Angel of Harlem
Angel, Angel of Harlem
Angel, Angel of Harlem
Oh yeah, it's alright
It's alright"
Another Day	https://www.allthelyrics.com/lyrics/u2/another_day-lyrics-18575.html	All That You Can't Leave Behind	"Wake up
The dawn of another dull day
Take up
Your dreams and on your way
Oh oh ooh
Daylight
Mother stands in the hall
Last night
Head against the wall
Oh oh ooh
When night turns to day
And the children come out to play
Another day
Stop, shake out
They came my way
Oh oh ooh...
Boy, salute in a street uniform
Toy, soldier ripped and torn
Oh oh ooh
When night turns to day
And the children come out to play
Another day
Stop, shout
They came my way
Oh oh ooh"
Another Time, Another Place	https://www.allthelyrics.com/lyrics/u2/another_time_another_place-lyrics-18450.html	Boy	"Bright morning lights
Wipe the sleep from another day's eye
Turn away from the wall
And there's Nothing at all
Being naked and afraid
In the open space of my bed
I'll be with you now
I'll be with you now
I'll be with you now
We lie on a cloud
We lie...
Just as I am
I awoke with a tear on my tongue
I awoke with a feeling of never before
In my sleep I discover the one
But she ran with the morning sun
I'll be with you now
I'll be with you now
I'll be with you now
We lie on a cloud
We lie...
Another time, another place
We lie...
Another child has lost the race
We lie...
Another time, another place
We lie...
Your time, your price
We lie...
Another time, another place
We lie...
Another child has lost...
[Gaelic words...]
We lie...
Another time, another place
We lie...
Your time, your place"
Babyface	https://www.allthelyrics.com/lyrics/u2/babyface-lyrics-18521.html	Zooropa	"Watching your bright blue eyes
In the freeze frame
I've seen them so many times
I feel like I must be your best friend
You're looking fine, so fine, oh my
Dressed up like a lovely day, oh
Babyface, babyface
Slow down child, let me untie your lace
Babyface, babyface
Cover girl with natural grace
How could beauty be so kind
To an ordinary guy
Coming home late at night
To turn you on
Checking out every frame
I've got slow motion on my side
Turning around and around
With the sound and colour
Under my control, go
Round and around, going down
Dressed up like a lovely day
Babyface, babyface
Tin foil hair all tied up in lace
Babyface, babyface
Bitter sweet girl won't you give me a taste
How could beauty be so kind
To an ordinary guy
Do do do do do do do do do...do do...
Do do do do do do do do do...do do...
Babyface, babyface
Slow down child, let me untie your lace
Babyface, babyface
Open the door, let me unpack my case
Babyface, babyface
You're everywhere child
You're all over the place
Babyface, babyface
You're coming to me from outer-space
Hou could beauty be so kind
To an ordinary guy"
Bad	https://www.allthelyrics.com/lyrics/u2/bad-lyrics-18478.html	The Unforgettable Fire	"If you twist and turn away
If you tear yourself in two again
If I could, yes I would
If I could, I would let it go
Surrender, dislocate
If I could throw this lifeless
Lifeline to the wind
Leave this heart of clay
See you walk, walk away
Into the night
And through the rain
Into the half-light
And through the flame
If I could through myself
Set your spirit free
I'd lead your heart away
See you break, break away
Into the light
And to the day
To let it go
And so to fade away
To let it go
And so fade away
I'm wide awake
I'm wide awake
I'm not sleeping
Oh, no, no
If you should ask then maybe
They'd tell you what I would say
True colors fly in blue and black
Bruised silken skies and burning flack
Colors crash, collide in blood shot eyes
If I could, you know I would
If I could, I would let it go
This desparation
Dislocation
Separation
Condemnation
Revelation
In temptation
Isolation
Desolation
Let it go
And so to fade away
To let it go
And so fade away
Oh, no
I'm wide awake
I'm wide awake
I'm not sleeping
Oh, no no"
