song	link	album	lyrics
Fire Dance	https://www.allthelyrics.com/lyrics/rainbow/fire_dance-lyrics-246402.html	Bent out of Shape	"Visions of artemis
Goddess of the moonlight
The spell remains unbroken
The wrong begin the rite of the fire dance
Standing strong and steady
Waiting for the night sign
The helix has just risen
Now we have no choice but to drink the wine
Now is the time of the fire dance fire dance
Black hearted woman
Creature of the deep night
In the darkness of your soul
I'm hungry and searching to find the light
You are in control
I am in your power
Bell eeeee the bell has tolled
Now I know that the hour is near
As I burn with fear of the fire dance
The dharuba voice the wind is calling your name
You leave me no choice
Here I am falling again and again
Again into the flames of the fire dance"
Fool For The Night	https://www.allthelyrics.com/lyrics/rainbow/fool_for_the_night-lyrics-246403.html	Bent out of Shape	"I know just what you're thinking
I know just how you feel
Something sometimes inside you
Say can't believe it's real
So you're gonna play the game
All the faces and the names
And you know you're never gonna change
Fool for the night
And you don't believe it
Fool for the night
And you just can't see it
Running through the shadows
Like a phantom in the night
And as the curtain raises
You get ready for the fight
Say you want to even up the score
Don't know what you're doing it for
Too much but you still need more
Fool for the night
And you don't believe it
Fool for the night
And you just can't see it
I ain't gonna try and tell ya
You know the story oh so well
Everybody's out to buy and sell ya
You're gonna wind up by yourself
Oh here it comes again
No it's never gonna end
I must be dreaming
Fool for the night [2 times]
Oh here it comes again
I ain't gonna try and tell ya
You know the story oh so well
Everybody's out to buy and sell ya
You're gonna wind up by yourself
Oh here it comes again
And I know it's never gonna end
I must be dreaming
You love the night life
All the neon and the noise
And underneath the spotlight
You keep rocking with the boys
So you're gonna get it while you can
But you're never gonna understand
Nobody really gives a damn
Fool for the night and you don't believe it
Fool for the night why don't you see it"
Freedom Fighter	https://www.allthelyrics.com/lyrics/rainbow/freedom_fighter-lyrics-246416.html	Difficult to Cure	"You can't control me tell me what to do
Chained in mediocrity so I can be like you
I'm not a statue not part of a machine
I'm sick and tired of the whole routine
Calculate your future, computerize your past
Instant replay if it's gone too fast
Take away my freedom, take away my home
I'm only human but it might no show
I'm not made of stone
I'm a freedom fighter I got something to say
I'm a freedom fighter get out of my way
Hide behind your politics, hide behind your rules
Tell me I'm a man but you treat me like a fool
It's the same old story with a different name
You give us all a number and nothing changes
Out in the winter of a world upon it's knees
Everyone is watching but no-one sees
You can't take my freedom you know it is my right
If you try and stop me I'm gonna fight
With all of my might
I'm a freedom fighter and I'm taking command
I'm a freedom fighter and I'm making a stand
Fighting for breath as the world gathers speed
Time's running out for the things that I need
I'm a freedom fighter I gotta make a stand
I'm a freedom fighter, yeah That's what I am
I'm a freedom fighter I can't take it no more
I'm a freedom fighter no no more
I'm a freedom fighter but I'm not afraid
I'm a freedom fighter get out of my way"
Gates Of Babylon	https://www.allthelyrics.com/lyrics/rainbow/gates_of_babylon-lyrics-246426.html	Long Live Rock'n'Roll	"Look away from the sea
I can take you anywhere
Spend a vision with me
A chase with the wind
Move closer to me
I can make you anyone
I think you're ready to see
The gates of Babylon
The power of what has been before
Rises to trap you within
A magic carpet ride a genie maybe more
A city of heavenly sin
Sleep with the devil and then you must pay
Sleep with the devil and the devil will take you away
Oh gates of Babylon
You can see but you're blind
Someone turned the sun around
But you can see in your mind
The gates of Babylon
You're riding the endless caravan
Bonded and sold as a slave
A sabre dance removing all the veils
Getting as good as you gave
Sleep with the devil and then you must pay
Sleep with the devil and the devil will take you away
Look away from the sea
I can take you anywhere
Spend a vision with me
A chase with the wind
Move closer to me
I can make you anyone
I think you're ready to see
The gates of Babylon
The power of what has been before
Rises to trap you within
A magic carpet ride a genie maybe more
A city of heavenly sin
Sleep with the devil and then you must pay
Sleep with the devil and the devil will take you away
Black gates of Babylon
The devil is me
And I'm holding the key
To the gates of sweet hell
Babylon"
Hall Of The Mountain King	https://www.allthelyrics.com/lyrics/rainbow/hall_of_the_mountain_king-lyrics-519249.html	Stranger in Us All	"Mysteries of ages told, stories now will unfold
Tales of mystic days of old are hidden in these walls
Hear the witches play their tunes, sing their songs to the moon
As they play the night will move, in the hall of the mountain king
Wild child so innocent
You took that away
Thoughts of wonder and surprise hide themselves in your eyes
As the smoke begins to rise inside the mountain halls
Ancient tales of witches love, answers lie through that door
All you'd ever want and more, is calling for you now
Through darkend corridors
Try but you cannot break free
You took her innocence
Now you will answer to me
I am the mountain king
Are you not afraid? I am the mountain king
Listen to the bells
In a midnight fantasy, more than any eye can see
Hear them laughing crazily, It's out of control
Mysteries of ages told, stories now will unfold
Tales of mystic days of old are hidden in these walls
Through darkend corridors
Run but you cannot escape
You took her innocence
And for this crime you must pay
I am the mountain king, are you not afraid?
I am the mountain king"
Hunting Humans (Insatiable)	https://www.allthelyrics.com/lyrics/rainbow/hunting_humans_insatiable-lyrics-246395.html	Stranger in Us All	"Justify, speak the lies, close your eyes
As we make love
Touch my skin, let the fun begin, once again
I hear your cries, rise oh rise
Feel the nails, tell tales trails across my spine
Beautiful
Silken kiss, on a night like this, who would miss
Our final hour
Closer still, close your eyes, see my world, it's animal
Insatiable
Velvet glove, unrequited love, find the words
And make them rhyme
One last dance, hypnotizing trance, a knowing glance
I love you
Closer still, lose your will, see my world, it's criminal
Insatiable
Things we hide, keep them out of signt, heard it said
It's unbearable
Feel my pain, taste my shame, who's to blame
Inexcusable"
I Surrender	https://www.allthelyrics.com/lyrics/rainbow/i_surrender-lyrics-246421.html	Difficult to Cure	"I surrender to your heart babe
Do anything that you want me to do
Please be tender I'm in your hands girl
This is a feeling I never knew
You know I tried to make it on my own
That's not the way it was meant to be
Spend my time waiting by the phone
Oh darling come back to me
I surrender, I surrender
I'm giving up the role of pretender
Oh be tender, girl be tender
Can't you feel the love that I send you
I surrender.
I remember, seems like a lifetime
Can't believe it's a matter of days
Since you left me I'm near to heartbreak
I want you so bad don't turn away
What does it take to stay by my side
You know I'll do what you want me to
Don't take away this feeling inside
I'm still in love with you
I surrender, I surrender
I'm giving up the role of pretender
I remember, I remember
Can't you feel the love that I send you
I surrender.
I surrender, I surrender
Darling now won't you be tender
Surrender, oh surrender
Feel the love that I send you
I surrender."
If You Don't Like Rock & Roll	https://www.allthelyrics.com/lyrics/rainbow/if_you_dont_like_rock_roll-lyrics-246437.html	Rainbow	"You'd never know there was music playing,
Until you talked your way inside the door.
And then a sound like rolling thunder
Began to push you right through the floor.
And there's a great white sign with big black letters
That just about explains it all:
""If you don't like rock and roll,
If you don't like rock and roll,
If you don't like rock and roll,
Then it's too late now.""
Anastasia was a huge lady.
And she was dressed the way the stories tell.
So, being cool, I made a move to grab her.
But you could see she'd read the story well.
And then she whipped out a card with big black letters
That just about explained it all:
""If you don't like rock and roll,
If you don't like rock and roll,
If you don't like rock and roll,
Then you're too late now."""
Jealous Lover	https://www.allthelyrics.com/lyrics/rainbow/jealous_lover-lyrics-469122.html	Very Best of Rainbow	"Lost and lonely
Clouds hide the sun
Out on the highway
It's all hit and run
Cold empty nights
Demons in my head
It's something I did
Or baby something you said
And it's hard to discover
That you're just another
Jealous Lover
And its so tough to take
But you're making no mistake
Jealous Lover
Oh Yeah
Don't want no other
Shades of red
Eyes of green
Sees black and white
And there's no in between
Ask me no questions
I'll tell you no lies
Still you keep thinking
That it's all alibis
And it's hard to discover
You're like any other
Jealous Lover
And you're saying I'm a fake
But you're making a mistake
Oh, no no
Every day it's the same
The faces and the names
How long can I go on
Playing this game
So I live for the nights
Soft candle lights
Today they love you
Then tomorrow they might
And it's hard to face
Someone else takes your place
Jealous Lover
And they're saying that's the brakes
But I got what it takes
Jealous Lover, ohh oh
Jealous Lover
Jealous Lover
Don't need no, no no
Don't need no other
Jealous Lover, yeah
Jealous Lover"
Kill The King	https://www.allthelyrics.com/lyrics/rainbow/kill_the_king-lyrics-246425.html	Long Live Rock'n'Roll	"Danger, danger the Queen's about to kill
There's a stranger, stranger and life about to spill
Oh no move me out of harm
I need a spell and a charm
Fly like the wind
I'm no pawn, so be gone, speed on and on
Kill the king
Tear him down
Kill the king, yeah
Strike him down
Power, power it happens every day
Power, devour all along the way
Oh no, move me out of harm
I need a spell and a charm
And fly like the wind
I'm no pawn, so be gone, speed on and on
Kill the king
Treason, treason, the spectre looms again
Treason, reason, the realm is safe and then
Oh no, move away from harm
I need a spell and a charm
Fly like the rainbow
I'm no pawn, so be gone, speed on and on
Kill the king
Tear him down
Kill the king, yeah
Got to take his crown
Crown
Kill the king
He'll rule no more
Strike him dead
The people roar
Kill the king, yeah
Take his head
Down, down, down, down
Oh, kill
Oh, kill
Oh, oh"
