song	link	album	lyrics
Hurricane Drunk	https://www.allthelyrics.com/lyrics/florence_the_machine/hurricane_drunk-lyrics-1315265.html	Album: Lungs	"No walls
Can keep me protected
No sleep
Nothing in-between me and the rain
And you can't save me now
I'm in the grip of a hurricane
I'm gonna blow myself away
I'm going out
I'm gonna drink myself to death
And in the crowd
I see you with someone else
I brace myself
'cause I know it's going to hurt
But I like to think at least things can't get any worse
No home
I don't want shelter
No calm
Nothing to keep me from the storm
And you can't hold me down
'cause I belong to the hurricane
It's gonna blow us all away
I'm going out
I'm gonna drink myself to death
And in the crowd
I see you with someone else
I brace myself
'cause I know it's going to hurt
But I like to think at least things can't get any worse
I hope that you see me
'cause I'm staring at you
But when you look over
You look right through
Then you lean and kiss her on the head
And I never felt so alive, and so... dead
I'm going out
I'm gonna drink myself to death
And in the crowd
I see you with someone else
I brace myself
'cause I know it's going to hurt
I'm going out
I'm going out
I'm gonna drink myself to death
And in the crowd
I see you with someone else
I brace myself
'cause I know it's going to hurt
I'm going out
(woah-oh-o)
I'm going out
(woah-oh-o)
I'm going out
I'm going out
(woah-oh-o)
I'm going out"
I'm Not Calling You A Liar	https://www.allthelyrics.com/lyrics/florence_the_machine/im_not_calling_you_a_liar-lyrics-1315264.html	Album: Lungs	"I'm not calling you a liar,
Just don't lie to me.
I'm not calling you a thief,
Just don't steal from me,
I'm not calling you a ghost,
Just stop haunting me,
And i love you so much,
I'm gonna let you,
Kill me.
There's a ghost in my lungs
And it sighs in my sleep,
Wraps itself around my tongue,
As it softly speaks
Then it walks, then it walks with my legs
To Fall,
To Fall,
To Fall, at your feet.
Oh but for the grace of god go on,
And when you kiss me, I'm happy enough to die.
I'm not calling you a liar,
Just don't lie to me.
And i love you so much,
I'm gonna let you
I'm not calling you a thief,
Just don't,
And i love you so much,
I'm gonna let you,
Ohh,
I'm not calling you a ghost,
Just don't
There's a ghost in my mouth
And it talks in my sleep,
Wraps itself around my tongue,
As it softly speaks
then it walks, then it walks
then it walks with my legs
To Fall,
To Fall,
To Fall,
To Fall,
To Fall,
To Fall, at your feet.
Oh but for the grace of god go on,
And when you kiss me, I'm happy enough"
Kiss With A Fist	https://www.allthelyrics.com/lyrics/florence_the_machine/kiss_with_a_fist-lyrics-1315262.html	Album: Lungs	"You hit me once
I hit you back
You gave a kick
I gave a slap
You smashed a plate over my head
Then I set fire to our bed
You hit me once
I hit you back
You gave a kick
I gave a slap
You smashed a plate over my head
Then I set fire to our bed
My black eye casts no shadow
Your red eye sees nothing
Your slap don't stick
Your kicks don't hit
So we remain the same
Love sticks
Sweat drips
Break the lock if it don't fit
A kick to the teeth is good for some
A kiss with a fist is better then none
A kiss with a fist is better then none
I broke your jaw once before
I spilled your blood upon the floor
You broke my leg in return
So sit back and watch the bed burn
Love sticks
Sweat drips
Break the lock if it don't fit
A kick in the teeth is good for some
A kiss with a fist is better then none
A kiss with a fist is better then none
You hit me once
I hit you back
You gave a kick
I gave a slap
You smashed a plate over my head
Then I set fire to our bed
You hit me once
I hit you back
You gave a kick
I gave a slap
You smashed a plate over my head
Then I set fire to our bed"
Leave My Body	https://www.allthelyrics.com/lyrics/florence_the_machine/leave_my_body-lyrics-1370542.html	-	"I'm gonna be released from behind these lines
Don't care whether I live or die
And I'm losing blood,I'm gonna leave my bones
And I don't want your heart
Leaves me cold
I don't want your future,
I don't need your past
One bright moment is all I ask
I'm gonna leave my body,
(moving up to higher grounds)
I'm gonna lose my mind
(for history keeps pulling me down)
I don't need a husband,
I don't need no wife
Don't need the dead
I don't want your future,
I don't need your past
One bright moment is all I ask
X2
I'm gonna leave my body,
(moving up to higher grounds)
I'm gonna lose my mind
(for history keeps pulling me down)
X2
Pulling me down
(pulling me down) x4
I'm gonna leave my body,
(moving up to higher grounds)
I'm gonna lose my mind
(for history keeps pulling me down)
X3"
Lover To Lover	https://www.allthelyrics.com/lyrics/florence_the_machine/lover_to_lover-lyrics-1370536.html	-	"[Florence]
I've been losin' sleep,
I've been keepin' myself awake,
I've been wandering the streets,
For days and days and days,
Oh if I'm row to row,
Back to back,
Lover to lover,
And black to red,
But I believe,
I believe
There's no salvation for me now,
No space among the clouds,
And I've seen that I'm heading down,
But that's alright,
That's alright,
That's alright..
That's alright..
And I've been taking chances,
I've been setting myself up for the fall,
I've been keeping secrets,
From my heart and from and from my soul.
Going from row to row,
Back to back,
Lover to lover,
Black to red,
But I believe,
I believe
There's no salvation for me now,
No space among the clouds,
And I've seen that I'm heading down,
But that's alright,
That's alright,
That's alright!
That's alright!
Row to row,
Back to back,
And lover to lover,
And black to red,
And row to row,
Back to back,
And lover to lover!
No space among the clouds?
And I feel I'm heading down?
But that's alright,
That's alright,
That's alright!
That's alright!
That's alright!
That's alright!
Row to row!
Back to back!
And lover to lover!
And black to red!
And row to row!
Back to back!
Lover to lover
To lover to lover
To lover to lover
To lover to lover
To lover to lover
To lover to lover?
No salvation for me now?
No salvation for me now?
No salvation for me now?
No salvation for me now?"
My Boy Builds Coffins	https://www.allthelyrics.com/lyrics/florence_the_machine/my_boy_builds_coffins-lyrics-1315263.html	Album: Lungs	"My boy builds coffins with hammers and nails
He doesn't build ships, he has no use for sails
He doesn't make tables, dressers, or chairs
He can't carve a whistle 'cause he just doesn't care
My boy builds coffins for the rich and the poor
Kings and queens them all knocked on his door
Beggars and liars, gypsies and thieves
They all come to him 'cause he's so eager to please
My boy builds coffins he makes them all day
But it's not just for work and it isn't for play
He's made one for himself
One for me too
One of these days he'll make one for you
My boy builds coffins for better or worse
Some say it's a blessing, some say it's a curse
He fits them together in sunshine or rain
Each one is unique, no two are the same
My boy builds coffins and I think it's a shame
That when each one's been made, he can't see it again
He crafts every one with love and with care
Then it's thrown in the ground and it just isn't fair
My boy builds coffins he makes them all day
But it's not just for work and it isn't for play
He's made one for himself
One for me too
One of these days he'll make one for you"
Never Let Me Go	https://www.allthelyrics.com/lyrics/florence_the_machine/never_let_me_go-lyrics-1370534.html	Album: Ceremonials	"Looking up from underneath
Fractured moonlight light on the sea,
Reflections still look the same to me,
As before I went under
And it's peaceful in the deep,
Cause either way you cannot breathe,
No need to pray, no need to say
Now I am under
And it's breaking over me,
A thousand miles down to the sea bed,
I found the place to rest my head.
Never let me go, never let me go.
Never let me go, never let me go.
And the arms of the ocean are carrying me,
And all this devotion was rushing out of me,
And the crashes are heaven, for a sinner like me,
But the arms of the ocean deliver me.
Though the pressure's hard to take,
It's the only way I can escape,
It seems a heavy choice to make,
But now I am under, oh
And it's breaking over me,
A thousand miles down to the sea bed,
I found the place to rest my head.
Never let me go, never let me go.
Never let me go, never let me go.
And the arms of the ocean are carrying me, (so cold and so sweet)
And all this devotion was rushing out of me,
And the crashes are heaven, for a sinner like me,
But the arms of the ocean deliver me.
And it's over,
And I'm going under,
But i'm not giving up!
I'm just giving in.
AWooooooooooooooah!
Slipping underneath.
AWooooooooooooooah!
So cold and so sweet.
In the arms of the ocean, so sweet and so cold,
And all this devotion, I never knew at all,
And the crashes are heaven, for a sinner released,
But the arms of the ocean deliver me.
Never let me go, never let me go.
Never let me go, never let me go.
Deliver me.
Never let me go, never let me go.
Never let me go, never let me go.
Deliver me.
Never let me go, never let me go.
Never let me go, never let me go.
Never let me go, never let me go.
Never let me go, never let me go.
And it's over,
And I'm going under,
But i'm not giving up!
I'm just giving in.
AWooooooooooooooah,
Slipping underneath.
AWooooooooooooooah,
So cold and so sweet."
No Light No Light	https://www.allthelyrics.com/lyrics/florence_the_machine/no_light_no_light-lyrics-1370537.html	-	"You are the hole in my head
You are the space in my bed
You are the silence in between
What I thought and what I said
You are the night-time fear
You are the morning when it's clear
When it's over your start
You're my head
You're my heart
No light, no light in your bright blue eyes
I never knew daylight could be so violent
A revelation in the light of day
You can choose what stays and what fades away
And I'd do anything to make you stay
No light, no light
No light
Tell me what you want me to say
Through the crowded islands
Crying out at me
In your place there were a thousand other faces
I will disappear in plain sight
Heaven help me
I need to make it right
You want a revelation
You want to get right
But it's a conversation
I just can't have tonight
You want a revelation
Some kind of resolution
You are the revelation
No light, no light in your bright blue eyes
I never knew daylight could be so violent
A revelation in the light of day
You can choose what stays and what fades away
And I'd do anything to make you stay
No light, no light
No light
Tell me what you want me to say
But would you leave me,
If I told you what I've done
And would you leave me
If I told you what I've become
'Cause it's so easy,
To sing it to a crowd
But it's so hard, my love
To say it to you, all alone
No light, no light in your bright blue eyes
I never knew daylight could be so violent
A revelation in the light of day,
You can choose what stays and what fades away
And I'd do anything to make you stay
No light, no light
No light
Tell me what you want me to say
You want a revelation
You want to get right
But, it's a conversation
I just can't have tonight
You want a revelation
Some kind of resolution.
You are the revelation.
You want a revelation
You want to get right.
But, it's a conversation,
I just can't have tonight.
You want a revelation
Some kind of resolution
Tell me what you want me to say"
Only If For A Night	https://www.allthelyrics.com/lyrics/florence_the_machine/only_if_for_a_night-lyrics-1370543.html	-	"[Florence]
And I had a dream
About my old school
And she was there all pink and gold
And glittery
I threw my arms around her legs,
(Came to weeping, came to weeping)
Then I heard your voice as clear as day,
And you told me I should concentrate,
It was all so strange,
And so surreal,
That a ghost should be so practical.
Only if for a night
And the only solution was to stand and fight,
And my body was losing all the satellites,
But you came over me like some holy life,
And I know the whole story,
You're the only light
Only if for a night
The grass was so green against my new clothes,
And I did cartwheels in your honour.
Dancing on tiptoes,
My own secret ceremonials,
Before the service began.
In the graveyard, doing handstands.
And I heard your voice as clear as day,
And you told me I should concentrate ,
It was all so strange,
And so surreal,
That a ghost should be so practical.
Only if for a night.
And the only solution was to stand and fight,
And my body was loosing all the sattelites,
But you came over me like some holy life,
And I know the whole story,
You're the only light.
Only if for a night.
Ooohh,
Oooooohhhh,
Woah-woah-woah.
My doh, my dear, my darling,
Tell me what all this sighing's about,
Tell me what all this sighing's about.
And I heard your voice as clear as day,
And you told me I should concentrate,
It was all so strange,
And so surreal,
That a ghost should be so practical.
Only if for a night.
Yeyeyeye-yeyeyeye-ahhaaaooooh."
Rabbit Heart (Raise It Up)	https://www.allthelyrics.com/lyrics/florence_the_machine/rabbit_heart_raise_it_up-lyrics-1315266.html	Album: Lungs	"The looking glass so shiny and new
How quickly the glamor fades
I start spinning slipping out of time
Was that the wrong pill to take (Raise it up)
You made a deal and now it seems you have to offer up
But will it ever be enough
(Raise it up raise it up)
It's not enough
(Raise it up raise it up)
Here I am a rabbit hearted girl
Frozen in the headlights
It seems Ive made the final sacrifice
We raise it up this offering
We raise it up
This is a gift it comes with a price
Who is the lamb and who is the knife
Midas is king and he holds me so tight
And turns me to gold in the sunlight
I look around but I can't find you
(Raise it up)
If only I could see your face
(Raise it up)
Instead of rushing towards the skyline
(Raise it up)
I wish that I could just be brave
I must become a lion hearted girl
Ready for a fight
Before I make the final sacrifice
We raise it up this offering
We raise it up
This is a gift it comes with a price
Who is the lamb and who is the knife
Midas is king and he holds me so tight
And turns me to gold in the sunlight
Raise it up raise it up
(Repeat)
And in the spring I shed my skin
And it blows away with the changing wind
The waters turn from blue to red
As towards the sky I offer it
This is a gift it comes with a price
Who is the lamb and who is the knife
Midas is king and he holds me so tight
And turns me to gold in the sunlight
(Repeat)"
