song	link	album	lyrics
Behind The Wheel	https://www.allthelyrics.com/lyrics/depeche_mode/behind_the_wheel-lyrics-46490.html	Album: The Singles 86>98	"My little girl
Drive anywhere
Do what you want
I don't care
Tonight
I'm in the hands of fate
I hand myself
Over on a plate
Now
Oh little girl
There are times when I feel
I'd rather not be
The one behind the wheel
Come
Pull my strings
Watch me move
I do anything
Please
Sweet little girl
I prefer
You behind the wheel
And me the passenger
Drive
I'm yours to keep
Do what you want
I'm going cheap
Tonight
You're behind the wheel tonight"
Black Celebration	https://www.allthelyrics.com/lyrics/depeche_mode/black_celebration-lyrics-46484.html	Album: Violator	"Let's have a black celebration
Black celebration
Tonight
To celebrate the fact
That we've seen the back
Of another black day
I look to you
How you carry on
When all hope is gone
Can't you see
Your optimistic eyes
Seem like paradise
To someone like
Me
I want to take you
In my arms
Forgetting all I couldn't do today
Black celebration
Black celebration
Tonight
To celebrate the fact
That we've seen the back
Of another black day
I look to you
And your strong belief
Me, I want relief
Tonight
Consolation
I want so much
Want to feel your touch
Tonight
Take me in your arms
Forgetting all you couldn't do today
Black celebration
I'll drink to that
Black celebration
Tonight"
Black Day	https://www.allthelyrics.com/lyrics/depeche_mode/black_day-lyrics-46386.html	Album: A Broken Frame	"[An alternate version of ""Black Celebration""]
Celebrate the fact
That we've seen the back
Of another black day
Celebrate the fact
That we've seen the back
Of another black day
Black day
Black day
I want to take you in my arms
Forgeting all I couldn't do today
Black day"
Blasphemous Rumours	https://www.allthelyrics.com/lyrics/depeche_mode/blasphemous_rumours-lyrics-46442.html	Album: The Singles 81>85	"Girl of 16
Whole life ahead of her
Slashed her wrists
Bored with life
Didn't succeed
Thank the lord
For small mercies
Fighting back the tears
Mother reads the note again
16 candles burn in her mind
She takes the blame
It's always the same
She goes down on her knees
And prays
I don't want to start
Any blasphemous rumours
But I think that God's
Got a sick sense of humour
And when I die
I expect to find Him laughing
Girl of 18
Fell in love with everything
Found new life
In Jesus Christ
Hit by a car
Ended up
On a life support machine
Summer's day
As she passed away
Birds were singing
In the summer sky
Then came the rain
And once again
A tear fell
From her mother's eye"
Blue Dress	https://www.allthelyrics.com/lyrics/depeche_mode/blue_dress-lyrics-46508.html	Album: Songs Of Faith And Devotion - Live	"Put it on
And don't say a word
Put it on
The one that I prefer
Put it on
And stand before my eyes
Put it on
Please don't question why
Can you believe
Something so simple
Something so trivial
Makes me a happy man
Can't you understand
Say you believe
Just how easy
It is to please me
Because when you learn
You'll know what makes the world turn
Put it on
I can feel so much
Put it on
I don't need to touch
Put it on
Here before my eyes
Put it on
Because you realise
And you believe
Something so worthless
Serves a purpose
It makes me a happy man
Can't you understand
Say you believe
Just how easy
It is to please me
Because when you learn
You'll know what makes the world turn"
Boys Say Go!	https://www.allthelyrics.com/lyrics/depeche_mode/boys_say_go-lyrics-46397.html	Album: Construction Time Again	"You don't understand
This is a demand
And I think that I have to show you
Try to look inside
Take me for a ride
In the day and the night
Get to know you
Boys meet boys get together
Boys meet boys live forever
Don't say no
Boys say go
I can run away
If you never stay
And the rain and the pain and the sorrow
I'm not very sure
When you close the door
If the end is the same as tomorrow
Boys!
Boys!
Boys say go!"
Breathe	https://www.allthelyrics.com/lyrics/depeche_mode/breathe-lyrics-33730.html	Album: Exciter	"I heard a rumour
They travel far
You know what it's like
The way people are
They talk and they talk
Though they don't understand
They'll whisper and whisper
And lie on demand
Please tell me now
I want to know
I have to hear it from your lips
Say it's not so
 
I heard it on Monday
And I laughed a while
I heard it on Tuesday
I managed to smile
I heard it on Wednesday
My patience was tried
I heard it on Thursday
And I hurt inside
I want to know
The depths of your mind
Tell me this whole thing is madness
And we're doing fine
Put your little hand in mine
And believe in love
Put your head on my chest
And breathe love
Breathe love
Breathe love
Breathe love
 
I heard it from Peter
Who heard it from Paul
Who heard it from someone
I don't know at all
I heard it from Mary
Who heard it from Ruth
Who swore on the bible
She's telling the truth
I heard it from Simon
Who heard it from James
Confirming with Sarah
That I was to blame
I heard it from Joseph
Who heard it from John
Who said with conviction
That all hope was gone
So I need to know
Your alibis
I need to hear that you love me
Before you say goodbye
Before you say goodbye
Before you say goodbye
Before you say goodbye"
Breathing In Fumes	https://www.allthelyrics.com/lyrics/depeche_mode/breathing_in_fumes-lyrics-46385.html	Album: A Broken Frame	"[A dub mix of ""Stripped""]
Nothing on this
I taste when we kiss
Come back to the land
For a few hours
Let me see you
Stripped down to the bone
Taste when we kiss
I taste when we kiss
You're breathing in fumes
I taste when we kiss
Let me see you
Stripped down to the
I taste when we kiss
I taste when we kiss
Let me see you
Stripped down to the
Come back to the land
Come back to the land
Let me see you
Stripped down to the bone
Breathing in fumes
I'm breathing in fumes
Breathing in fumes
You're breathing in fumes"
But Not Tonight	https://www.allthelyrics.com/lyrics/depeche_mode/but_not_tonight-lyrics-46371.html	Album: Music For The Masses	"Oh God it's raining
But I'm not complaining
It's filling me up with new life
The stars in the sky
Bring tears to my eyes
They're lighting my way tonight
And I haven't felt so alive
In years
Just for a day
On a day like today
I'll get away from this constant debauchery
The wind in my hair
Makes me so aware
How good it is to live tonight
And I haven't felt so alive
In years
The moon
Is shining in the sky
Reminding me
Of so many other nights
But they're not like tonight
Oh God it's raining
And I'm not containing
My pleasure at being so wet
Here on my own
All on my own
How good it feels to be alone tonight
And I haven't felt so alive
In years
The moon
Is shining in the sky
Reminding me
Of so many other nights
When my eyes had been so red
I'd been mistaken for dead
But not tonight"
Clean	https://www.allthelyrics.com/lyrics/depeche_mode/clean-lyrics-46507.html	Album: Songs Of Faith And Devotion - Live	"Clean
The cleanest I've been
An end to the tears
And the in-between years
And the troubles I've seen
Now that I'm clean
You know what I mean
I've broken my fall
Put an end to it all
I've changed my routine
Now I'm clean
I don't understand
What destiny's planned
I'm starting to grasp
What is in my own hands
I don't claim to know
Where my holiness goes
I just know that I like
What is starting to show
Sometimes
As years go by
All the feelings inside
Twist and they turn
As they ride with the tide
I don't advise
And I don't criticise
I just know what I like
With my own eyes
Sometimes
Sometimes"
